Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,,,Genre,,,,,Publisher,
2003,We Need to Talk About Kevin,Lionel Shriver,eng,Excellent,4.07,101343.0,genre fiction,5902.92,3541.752,25.89,393.0,HarperCollins Publishers,6156.0
2011,Gabriel's Inferno,Sylvain Reynard,eng,Excellent,4.02,119633.0,genre fiction,1781.77,1069.062,7.99,404.0,Penguin Group (USA) LLC,6021.0
2010,Major Pettigrew's Last Stand,Helen Simonson,eng,Intermediate,3.87,97745.0,genre fiction,660.79,396.474,2.99,408.0,Simon and Schuster Digital Sales Inc,5967.0
2009,Vision in White,Nora Roberts,eng,Excellent,4.1,103933.0,genre fiction,437.8,262.68,1.99,409.0,Random House LLC,5940.0
2005,Old Man's War,John Scalzi,eng,Excellent,4.23,97653.0,genre fiction,1311.81,787.086,5.99,412.0,Macmillan,5913.0
2006,The Blade Itself,Joe Abercrombie,eng,Excellent,4.14,97501.0,genre fiction,1717.85,1030.71,7.99,419.0,Random House LLC,5805.0
1997,Déjà Dead,Kathy Reichs,eng,Intermediate,3.86,100369.0,genre fiction,1062.87,637.722,4.99,424.0,Hachette Book Group,5751.0
2007,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,eng,Intermediate,3.84,58396.0,genre fiction,1693.88,1016.328,7.99,425.0,Penguin Group (USA) LLC,5724.0
2011,The Marriage Plot,Jeffrey Eugenides,eng,Novice,3.42,90551.0,genre fiction,1080.32,648.192,5.12,427.0,Random House LLC,5697.0
2015,Luckiest Girl Alive,Jessica Knoll,eng,Novice,3.48,82504.0,genre fiction,2007.6,1204.56,9.56,430.0,Simon and Schuster Digital Sales Inc,5670.0
2009,Fire,Kristin Cashore,en-US,Excellent,4.12,98180.0,genre fiction,2457.95,1474.77,11.99,439.0,Penguin Group (USA) LLC,5535.0
1952,En attendant Godot,Samuel Beckett,eng,Intermediate,3.81,98950.0,genre fiction,1621.97,973.182,7.99,444.0,Penguin Group (USA) LLC,5481.0
1906,White Fang,Jack London,eng,Intermediate,3.94,100223.0,genre fiction,1703.17,1021.902,8.39,444.0,Random House LLC,5481.0
2012,The Edge of Never,J.A. Redmerski,en-US,Excellent,4.26,117508.0,genre fiction,600.99,360.594,2.99,447.0,Simon and Schuster Digital Sales Inc,5427.0
2014,The One Plus One,Jojo Moyes,eng,Intermediate,3.94,87412.0,genre fiction,399.99,239.994,1.99,448.0,Hachette Book Group,5427.0
1998,The Hours,Michael Cunningham,en-US,Intermediate,3.91,97462.0,genre fiction,500.0,300.0,2.5,449.0,HarperCollins Publishers,5400.0
2012,The Kill Order,James Dashner,eng,Intermediate,3.69,96568.0,genre fiction,1059.86,635.916,5.38,455.0,Random House LLC,5319.0
1993,The Fires of Heaven,Robert Jordan,en-US,Excellent,4.13,93227.0,children,1480.05,888.03,7.59,459.0,Random House LLC,5265.0
2014,I'll Give You the Sun,Jandy Nelson,eng,Excellent,4.14,140937.0,genre fiction,583.05,349.83,2.99,460.0,Simon and Schuster Digital Sales Inc,5265.0
1999,Survivor,Chuck Palahniuk,en-US,Intermediate,3.93,49551.0,genre fiction,192.06,115.236,0.99,462.0,HarperCollins Publishers,5238.0
2009,Twilight Director's Notebook,Catherine Hardwicke,en-US,Excellent,4.2,88847.0,genre fiction,1726.08,1035.648,8.99,465.0,HarperCollins Publishers,5184.0
2001,Shopaholic Abroad,Sophie Kinsella,en-US,Intermediate,3.75,93498.0,genre fiction,1468.79,881.274,7.69,468.0,Penguin Group (USA) LLC,5157.0
1908,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,,Famous,4.42,92142.0,genre fiction,1510.11,906.066,7.99,472.0,Random House LLC,5103.0
2009,Thoughtless,S.C. Stephens,eng,Excellent,4.12,90483.0,genre fiction,1114.14,668.484,5.99,478.0,Penguin Group (USA) LLC,5022.0
1989,The Dark Half,Stephen King,eng,Intermediate,3.74,94624.0,genre fiction,550.16,330.096,2.99,482.0,Macmillan,4968.0
2005,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,en-US,Intermediate,3.66,78271.0,genre fiction,544.18,326.508,2.99,485.0,Hachette Book Group,4914.0
2013,Steelheart,Brandon Sanderson,eng,Excellent,4.16,76261.0,genre fiction,1243.06,745.836,6.83,486.0,Penguin Group (USA) LLC,4914.0
1864,Voyage au centre de la Terre,Jules Verne,eng,Intermediate,3.84,89410.0,nonfiction,1726.2,1035.72,9.59,489.0,Macmillan,4860.0
1962,The Man in the High Castle,Philip K. Dick,eng,Intermediate,3.66,84180.0,genre fiction,2280.46,1368.276,12.74,492.0,Hachette Book Group,4833.0
1994,The Alienist,Caleb Carr,eng,Excellent,4.05,96981.0,genre fiction,1230.24,738.144,6.99,498.0,HarperCollins Publishers,4752.0
2009,The Big Short: Inside the Doomsday Machine,Michael   Lewis,en-US,Excellent,4.26,37090.0,fiction,1216.26,729.756,6.99,502.0,Simon and Schuster Digital Sales Inc,4698.0
2011,The Unbecoming of Mara Dyer,Michelle Hodkin,eng,Excellent,4.09,83847.0,fiction,1879.29,1127.574,10.99,516.0,Macmillan,4617.0
1997,Three to Get Deadly,Janet Evanovich,en-US,Excellent,4.14,113400.0,genre fiction,1109.79,665.874,6.49,517.0,Hachette Book Group,4617.0
1905,The Scarlet Pimpernel,Emmuska Orczy,eng,Excellent,4.06,93217.0,fiction,648.09,388.854,3.79,517.0,Hachette Book Group,4617.0
1972,Tales of a Fourth Grade Nothing,Judy Blume,eng,Excellent,4.09,106435.0,genre fiction,508.3,304.98,2.99,519.0,Penguin Group (USA) LLC,4590.0
2013,Champion,Marie Lu,eng,Excellent,4.37,114623.0,nonfiction,1688.31,1012.986,9.99,523.0,Simon and Schuster Digital Sales Inc,4563.0
1985,Contact,Carl Sagan,eng,Excellent,4.11,90917.0,genre fiction,1350.31,810.186,7.99,524.0,Random House LLC,4563.0
2004,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,en-GB,Intermediate,3.79,83607.0,nonfiction,1294.54,776.724,7.66,526.0,Simon and Schuster Digital Sales Inc,4563.0
2011,The Power of Six,Pittacus Lore,eng,Excellent,4.17,97938.0,fiction,1843.79,1106.274,10.91,526.0,Macmillan,4563.0
2013,The Interestings,Meg Wolitzer,eng,Intermediate,3.54,76566.0,genre fiction,1342.32,805.392,7.99,528.0,HarperCollins Publishers,4536.0
2008,People of the Book,Geraldine Brooks,eng,Intermediate,4.0,95796.0,genre fiction,1291.92,775.152,7.69,531.0,Penguin Group (USA) LLC,4536.0
2012,The Secret Keeper,Kate Morton,,Excellent,4.13,89460.0,genre fiction,332.33,199.398,1.99,532.0,HarperCollins Publishers,4509.0
2001,The Surgeon,Tess Gerritsen,en-GB,Excellent,4.1,89468.0,nonfiction,1835.33,1101.198,10.99,536.0,Random House LLC,4509.0
2012,The Girl You Left Behind,Jojo Moyes,eng,Intermediate,3.95,80991.0,genre fiction,1152.04,691.224,6.94,537.0,Random House LLC,4482.0
2014,Heir of Fire,Sarah J. Maas,eng,Famous,4.53,123843.0,genre fiction,163.35,98.01,0.99,543.0,Hachette Book Group,4455.0
1994,,Robert Jordan,eng,Excellent,4.1,91046.0,fiction,823.35,494.01,4.99,544.0,Hachette Book Group,4455.0
2009,The Sweetness at the Bottom of the Pie,Alan Bradley,eng,Intermediate,3.81,99841.0,genre fiction,1757.25,1054.35,10.65,545.0,Penguin Group (USA) LLC,4455.0
2005,A Breath of Snow and Ashes,Diana Gabaldon,eng,Famous,4.43,87098.0,nonfiction,1746.6,1047.96,10.65,547.0,Penguin Group (USA) LLC,4428.0
1964,A Moveable Feast,Ernest Hemingway,eng,Excellent,4.04,69992.0,genre fiction,813.37,488.022,4.99,551.0,Penguin Group (USA) LLC,4401.0
2006,Fablehaven,Brandon Mull,eng,Excellent,4.08,99390.0,genre fiction,1470.26,882.156,9.02,553.0,Random House LLC,4401.0
1998,The Street Lawyer,John Grisham,eng,Intermediate,3.81,80577.0,genre fiction,320.39,192.234,1.99,561.0,Random House LLC,4347.0
